quartile_factor,sales_balanced,value-aded_balanced,N_balanced,sales_unbalanced,value-aded_unbalanced,N_unbalanced
1,9879448.867491685,-5627661.512051454,94133,5380511.7312397435,-40169962.53668663,198954
2,62536261.91888224,15057386.435129741,94146,70910612.42858285,10236284.188352186,290273
3,237039495.98286098,60181501.158483036,94176,305826414.7952806,91851369.67607896,347760
4,11600864847.674147,2363313916.933387,94187,13362918113.993774,2743816819.150162,373584
